['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.213.163', '170.79.213.134', '170.79.213.154', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.213.163', '170.79.213.134', '170.79.213.154', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
['200.19.119.67', '200.130.101.19', '170.79.214.112', '170.79.214.127', '170.79.213.104', '200.143.252.3', '100.64.57.2', '200.128.2.21']
